Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
13719,172.31.69.28-18.218.11.51-80-52655-6,18.218.11.51,52655,172.31.69.28,80,6,21/02/2018 11:41:27 PM,14964,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.65410318096772,14964.0,0.0,14964.0,14964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,66.82705159048383,66.82705159048383,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
21562,172.31.69.28-18.219.32.43-80-55923-6,18.219.32.43,55923,172.31.69.28,80,6,21/02/2018 11:41:37 PM,30250,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11570247933885,30250.0,0.0,30250.0,30250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,33.057851239669425,33.057851239669425,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
32518,172.31.69.28-18.219.9.1-80-56674-6,18.219.9.1,56674,172.31.69.28,80,6,21/02/2018 11:41:51 PM,15647,2,5,259.0,935.0,259.0,0.0,129.5,183.14065632731584,935.0,0.0,187.0,418.1447117924608,76308.55755096822,447.3701028951237,2607.833333333333,5801.956718786058,14431.0,3.0,14431.0,14431.0,0.0,14431.0,14431.0,15647.0,3911.7500000000014,7233.617323534147,14745.0,7.0,0,0,0,0,40,124,127.82002939860676,319.55007349651686,0.0,935.0,149.25,330.1734392709384,109014.5,0,1,0,0,0,0,1,1,2.0,170.57142857142858,129.5,187.0,0,0,0,0,0,0,2,259,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
36736,172.31.69.28-18.219.9.1-80-56888-6,18.219.9.1,56888,172.31.69.28,80,6,21/02/2018 11:41:56 PM,13215,2,5,341.0,935.0,341.0,0.0,170.5,241.1234123846127,935.0,0.0,187.0,418.1447117924608,96556.94286795307,529.7010972379871,2202.5,3779.5507008108784,9362.0,3.0,9362.0,9362.0,0.0,9362.0,9362.0,13215.0,3303.75,4529.026192240447,9611.0,3.0,0,0,0,0,40,124,151.34317063942493,378.35792659856224,0.0,935.0,159.5,335.3002918493894,112426.28571428572,0,1,0,0,0,0,1,1,2.0,182.28571428571428,170.5,187.0,0,0,0,0,0,0,2,341,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
69055,172.31.69.28-18.218.115.60-80-53718-6,18.218.115.60,53718,172.31.69.28,80,6,21/02/2018 11:42:37 PM,19986,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07004903432406,19986.0,0.0,19986.0,19986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,50.03502451716203,50.03502451716203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
70394,172.31.69.28-18.216.200.189-80-55509-6,18.216.200.189,55509,172.31.69.28,80,6,21/02/2018 11:42:38 PM,21155,2,5,266.0,935.0,266.0,0.0,133.0,188.09040379562165,935.0,0.0,187.0,418.1447117924608,56771.44883006381,330.8910423067833,3525.833333333333,5374.077685209497,11483.0,4.0,9330.0,9330.0,0.0,9330.0,9330.0,21155.0,5288.75,6126.421216066249,11483.0,4.0,0,0,0,0,40,124,94.54029780193808,236.3507445048452,0.0,935.0,150.125,330.5149391479908,109240.125,0,1,0,0,0,0,1,1,2.0,171.57142857142858,133.0,187.0,0,0,0,0,0,0,2,266,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
74642,172.31.69.28-18.219.32.43-80-58583-6,18.219.32.43,58583,172.31.69.28,80,6,21/02/2018 11:42:44 PM,24908,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.29548739360848,24908.0,0.0,24908.0,24908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,40.14774369680424,40.14774369680424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
79424,172.31.69.28-18.219.5.43-80-58951-6,18.219.5.43,58951,172.31.69.28,80,6,21/02/2018 11:42:50 PM,30931,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.66004978823834,30931.0,0.0,30931.0,30931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,32.33002489411917,32.33002489411917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
118610,172.31.69.28-18.218.11.51-80-57915-6,18.218.11.51,57915,172.31.69.28,80,6,21/02/2018 11:43:39 PM,7707,2,5,300.0,935.0,300.0,0.0,150.0,212.13203435596427,935.0,0.0,187.0,418.1447117924608,160243.93408589592,908.2652134423253,1284.5,2895.7086006709997,7191.0,3.0,7191.0,7191.0,0.0,7191.0,7191.0,7707.0,1926.75,3681.556769900472,7447.0,3.0,0,0,0,0,40,124,259.5043466978072,648.7608667445179,0.0,935.0,154.375,332.4308467292752,110510.26785714287,0,1,0,0,0,0,1,1,2.0,176.4285714285714,150.0,187.0,0,0,0,0,0,0,2,300,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
136520,172.31.69.28-18.218.115.60-80-57090-6,18.218.115.60,57090,172.31.69.28,80,6,21/02/2018 11:44:01 PM,12365,2,5,288.0,935.0,288.0,0.0,144.0,203.64675298172568,935.0,0.0,187.0,418.1447117924608,98908.20865345736,566.1140315406391,2060.833333333333,4412.263474302805,11031.0,4.0,11031.0,11031.0,0.0,11031.0,11031.0,12365.0,3091.25,5503.547060759996,11315.0,4.0,0,0,0,0,40,124,161.74686615446828,404.36716538617065,0.0,935.0,152.875,331.7061683822855,110028.98214285713,0,1,0,0,0,0,1,1,2.0,174.71428571428572,144.0,187.0,0,0,0,0,0,0,2,288,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
139628,172.31.69.28-18.218.115.60-80-57244-6,18.218.115.60,57244,172.31.69.28,80,6,21/02/2018 11:44:05 PM,14618,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.81762210972772,14618.0,0.0,14618.0,14618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,68.40881105486386,68.40881105486386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
147750,172.31.69.28-18.218.229.235-80-59442-6,18.218.229.235,59442,172.31.69.28,80,6,21/02/2018 11:44:15 PM,6804,2,5,341.0,935.0,341.0,0.0,170.5,241.1234123846127,935.0,0.0,187.0,418.1447117924608,187536.74309229862,1028.8065843621398,1134.0000000000002,2377.834981658736,5971.0,7.0,5971.0,5971.0,0.0,5971.0,5971.0,6804.0,1701.0,3055.6661030507453,6272.0,7.0,0,0,0,0,40,124,293.9447383891828,734.8618459729571,0.0,935.0,159.5,335.3002918493894,112426.28571428572,0,1,0,0,0,0,1,1,2.0,182.28571428571428,170.5,187.0,0,0,0,0,0,0,2,341,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
156673,172.31.69.28-18.219.9.1-80-62898-6,18.219.9.1,62898,172.31.69.28,80,6,21/02/2018 11:44:26 PM,4009,2,5,310.0,935.0,310.0,0.0,155.0,219.2031021678297,935.0,0.0,187.0,418.1447117924608,310551.259665752,1746.071339486156,668.1666666666667,1270.5116161085134,3239.0,3.0,3239.0,3239.0,0.0,3239.0,3239.0,4009.0,1002.25,1748.4294619267127,3614.0,3.0,0,0,0,0,40,124,498.8775255674731,1247.1938139186827,0.0,935.0,155.625,333.0748253556764,110938.83928571428,0,1,0,0,0,0,1,1,2.0,177.85714285714286,155.0,187.0,0,0,0,0,0,0,2,310,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
157048,172.31.69.28-18.218.55.126-80-62291-6,18.218.55.126,62291,172.31.69.28,80,6,21/02/2018 11:44:27 PM,15404,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.83640612827838,15404.0,0.0,15404.0,15404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,64.91820306413919,64.91820306413919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
188977,172.31.69.28-18.219.32.43-80-64313-6,18.219.32.43,64313,172.31.69.28,80,6,21/02/2018 11:45:07 PM,5000,2,5,272.0,935.0,272.0,0.0,136.0,192.33304448274086,935.0,0.0,187.0,418.1447117924608,241400.0,1400.0,833.3333333333335,1736.8904014550449,4367.0,3.0,4367.0,4367.0,0.0,4367.0,4367.0,5000.0,1250.0,2329.0183912255106,4741.0,3.0,0,0,0,0,40,124,400.0,1000.0,0.0,935.0,150.875,330.8221090815166,109443.26785714287,0,1,0,0,0,0,1,1,2.0,172.4285714285714,136.0,187.0,0,0,0,0,0,0,2,272,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
192186,172.31.69.28-18.218.229.235-80-61667-6,18.218.229.235,61667,172.31.69.28,80,6,21/02/2018 11:45:11 PM,11884,2,5,284.0,935.0,284.0,0.0,142.0,200.8183258569795,935.0,0.0,187.0,418.1447117924608,102574.89060922248,589.0272635476271,1980.666666666667,4369.064690144411,10883.0,4.0,10883.0,10883.0,0.0,10883.0,10883.0,11884.0,2971.0,5484.834424726663,11185.0,6.0,0,0,0,0,40,124,168.2935038707506,420.7337596768765,0.0,935.0,152.375,331.47632429998464,109876.55357142855,0,1,0,0,0,0,1,1,2.0,174.14285714285714,142.0,187.0,0,0,0,0,0,0,2,284,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
200297,172.31.69.28-52.14.136.135-80-64686-6,52.14.136.135,64686,172.31.69.28,80,6,21/02/2018 11:45:21 PM,9899,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.04061016264268,9899.0,0.0,9899.0,9899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,101.02030508132135,101.02030508132135,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
202354,172.31.69.28-52.14.136.135-80-64788-6,52.14.136.135,64788,172.31.69.28,80,6,21/02/2018 11:45:24 PM,9014,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.877080097626,9014.0,0.0,9014.0,9014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,110.93854004881297,110.93854004881297,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
207620,172.31.69.28-18.216.24.42-80-62558-6,18.216.24.42,62558,172.31.69.28,80,6,21/02/2018 11:45:30 PM,252,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7936.507936507935,252.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,3968.2539682539677,3968.2539682539677,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
216128,172.31.69.28-18.216.200.189-80-62811-6,18.216.200.189,62811,172.31.69.28,80,6,21/02/2018 11:45:41 PM,8766,2,5,339.0,935.0,339.0,0.0,169.5,239.7091988222396,935.0,0.0,187.0,418.1447117924608,145334.24595026238,798.5398129135295,1461.0,3098.442770166975,7763.0,3.0,7763.0,7763.0,0.0,7763.0,7763.0,8766.0,2191.5,3925.4168780738014,8061.0,3.0,0,0,0,0,40,124,228.15423226100845,570.3855806525213,0.0,935.0,159.25,335.1463433018052,112323.07142857145,0,1,0,0,0,0,1,1,2.0,182.0,169.5,187.0,0,0,0,0,0,0,2,339,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
226508,172.31.69.28-18.219.32.43-80-49816-6,18.219.32.43,49816,172.31.69.28,80,6,21/02/2018 11:45:54 PM,5600,2,5,274.0,935.0,274.0,0.0,137.0,193.747258045114,935.0,0.0,187.0,418.1447117924608,215892.8571428572,1250.0,933.3333333333333,2025.53179848322,5061.0,4.0,5061.0,5061.0,0.0,5061.0,5061.0,5600.0,1400.0,2610.529958967464,5312.0,4.0,0,0,0,0,40,124,357.1428571428572,892.8571428571429,0.0,935.0,151.125,330.9274575233327,109512.98214285717,0,1,0,0,0,0,1,1,2.0,172.71428571428572,137.0,187.0,0,0,0,0,0,0,2,274,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
226611,172.31.69.28-18.218.115.60-80-61601-6,18.218.115.60,61601,172.31.69.28,80,6,21/02/2018 11:45:54 PM,5199,2,5,315.0,935.0,315.0,0.0,157.5,222.73863607376248,935.0,0.0,187.0,418.1447117924608,240430.85208693985,1346.412771686863,866.5,1723.7237307643009,4362.0,3.0,4362.0,4362.0,0.0,4362.0,4362.0,5199.0,1299.75,2276.3745115131355,4699.0,5.0,0,0,0,0,40,124,384.6893633391037,961.7234083477592,0.0,935.0,156.25,333.4104077559668,111162.5,0,1,0,0,0,0,1,1,2.0,178.5714285714286,157.5,187.0,0,0,0,0,0,0,2,315,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
234548,172.31.69.28-18.218.11.51-80-63724-6,18.218.11.51,63724,172.31.69.28,80,6,21/02/2018 11:46:04 PM,1743,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.4469305794607,1743.0,0.0,1743.0,1743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,573.7234652897304,573.7234652897304,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
235291,172.31.69.28-18.216.24.42-80-63945-6,18.216.24.42,63945,172.31.69.28,80,6,21/02/2018 11:46:05 PM,9390,2,5,266.0,935.0,266.0,0.0,133.0,188.09040379562165,935.0,0.0,187.0,418.1447117924608,127902.02342917994,745.4739084132054,1565.0,3512.0797826928706,8728.0,7.0,8728.0,8728.0,0.0,8728.0,8728.0,9390.0,2347.5,4478.81959895685,9063.0,7.0,0,0,0,0,40,124,212.99254526091582,532.4813631522896,0.0,935.0,150.125,330.5149391479908,109240.125,0,1,0,0,0,0,1,1,2.0,171.57142857142858,133.0,187.0,0,0,0,0,0,0,2,266,5,935,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
237520,172.31.69.28-18.218.115.60-80-62144-6,18.218.115.60,62144,172.31.69.28,80,6,21/02/2018 11:46:08 PM,7768,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.46652935118436,7768.0,0.0,7768.0,7768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,128.73326467559218,128.73326467559218,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
